group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fib 20,,,,,987707.0,ns,77
fib 20,,,,,1978099.0,ns,154
fib 20,,,,,2959893.0,ns,231
fib 20,,,,,3962277.0,ns,308
fib 20,,,,,4955555.0,ns,385
fib 20,,,,,5956705.0,ns,462
fib 20,,,,,6937190.0,ns,539
fib 20,,,,,7897704.0,ns,616
fib 20,,,,,8881694.0,ns,693
fib 20,,,,,9871053.0,ns,770
fib 20,,,,,10759913.0,ns,847
fib 20,,,,,11712113.0,ns,924
fib 20,,,,,12747091.0,ns,1001
fib 20,,,,,13804996.0,ns,1078
fib 20,,,,,14662570.0,ns,1155
fib 20,,,,,15748860.0,ns,1232
fib 20,,,,,16744923.0,ns,1309
fib 20,,,,,17754171.0,ns,1386
fib 20,,,,,18817519.0,ns,1463
fib 20,,,,,19763416.0,ns,1540
fib 20,,,,,20759860.0,ns,1617
fib 20,,,,,21654591.0,ns,1694
fib 20,,,,,22638330.0,ns,1771
fib 20,,,,,23447612.0,ns,1848
fib 20,,,,,24534815.0,ns,1925
fib 20,,,,,25390663.0,ns,2002
fib 20,,,,,26354675.0,ns,2079
fib 20,,,,,27385373.0,ns,2156
fib 20,,,,,28372668.0,ns,2233
fib 20,,,,,29426950.0,ns,2310
fib 20,,,,,30396112.0,ns,2387
fib 20,,,,,31300251.0,ns,2464
fib 20,,,,,32364431.0,ns,2541
fib 20,,,,,33354983.0,ns,2618
fib 20,,,,,34468807.0,ns,2695
fib 20,,,,,35411688.0,ns,2772
fib 20,,,,,36439321.0,ns,2849
fib 20,,,,,37398783.0,ns,2926
fib 20,,,,,38027154.0,ns,3003
fib 20,,,,,38963586.0,ns,3080
fib 20,,,,,40017375.0,ns,3157
fib 20,,,,,40900746.0,ns,3234
fib 20,,,,,42051469.0,ns,3311
fib 20,,,,,43159511.0,ns,3388
fib 20,,,,,44551638.0,ns,3465
fib 20,,,,,45285908.0,ns,3542
fib 20,,,,,46228489.0,ns,3619
fib 20,,,,,47216587.0,ns,3696
fib 20,,,,,48676951.0,ns,3773
fib 20,,,,,49421662.0,ns,3850
fib 20,,,,,50372939.0,ns,3927
fib 20,,,,,51317755.0,ns,4004
fib 20,,,,,52286796.0,ns,4081
fib 20,,,,,53259716.0,ns,4158
fib 20,,,,,54219300.0,ns,4235
fib 20,,,,,55161179.0,ns,4312
fib 20,,,,,56112888.0,ns,4389
fib 20,,,,,57104882.0,ns,4466
fib 20,,,,,58071029.0,ns,4543
fib 20,,,,,58999414.0,ns,4620
fib 20,,,,,59854902.0,ns,4697
fib 20,,,,,60664402.0,ns,4774
fib 20,,,,,61323582.0,ns,4851
fib 20,,,,,62519300.0,ns,4928
fib 20,,,,,63320956.0,ns,5005
fib 20,,,,,64494462.0,ns,5082
fib 20,,,,,65737467.0,ns,5159
fib 20,,,,,66867464.0,ns,5236
fib 20,,,,,68029716.0,ns,5313
fib 20,,,,,69111680.0,ns,5390
fib 20,,,,,70200408.0,ns,5467
fib 20,,,,,71152646.0,ns,5544
fib 20,,,,,72090278.0,ns,5621
fib 20,,,,,73260939.0,ns,5698
fib 20,,,,,73716537.0,ns,5775
fib 20,,,,,74415999.0,ns,5852
fib 20,,,,,75765427.0,ns,5929
fib 20,,,,,77173424.0,ns,6006
fib 20,,,,,78085597.0,ns,6083
fib 20,,,,,78529071.0,ns,6160
fib 20,,,,,79122828.0,ns,6237
fib 20,,,,,80393174.0,ns,6314
fib 20,,,,,81002651.0,ns,6391
fib 20,,,,,81914985.0,ns,6468
fib 20,,,,,83806601.0,ns,6545
fib 20,,,,,84039098.0,ns,6622
fib 20,,,,,85363737.0,ns,6699
fib 20,,,,,85895367.0,ns,6776
fib 20,,,,,86835003.0,ns,6853
fib 20,,,,,87890316.0,ns,6930
fib 20,,,,,89421855.0,ns,7007
fib 20,,,,,90801568.0,ns,7084
fib 20,,,,,91202052.0,ns,7161
fib 20,,,,,91585983.0,ns,7238
fib 20,,,,,92705848.0,ns,7315
fib 20,,,,,94003045.0,ns,7392
fib 20,,,,,94709744.0,ns,7469
fib 20,,,,,95485893.0,ns,7546
fib 20,,,,,96508384.0,ns,7623
fib 20,,,,,98635384.0,ns,7700
